,words,tfidf,topic
10,happen,0.04127536608072274,5
11,reason,0.04082546940064444,5
12,stop,0.039828707488195725,5
13,world,0.03628348952787,5
14,pain,0.034594098034626986,5
15,fuck,0.03395846856905699,5
16,mind,0.03361069076421591,5
17,head,0.03279712120261305,5
18,girl,0.03226157923068611,5
19,probably,0.029899117954993167,5
20,fucking,0.02946664681287153,5
21,hurt,0.027690706426904074,5
22,wish,0.027465609348170824,5
23,matter,0.02584297233624702,5
24,remember,0.025328125659746095,5
25,kill,0.024220490722521634,5
26,stupid,0.0233772013167329,5
27,cause,0.02261159460204212,5
28,man,0.02241653885349971,5
29,constantly,0.022212729583968745,5
30,heart,0.022155677292830463,5
31,emotion,0.021883464310785927,5
32,hold,0.021735268466279083,5
33,death,0.020574850777263978,5
34,sad,0.02033254678333984,5
35,inside,0.02025848285934657,5
36,completely,0.020028058192427558,5
37,enjoy,0.019653632972754628,5
38,honestly,0.01953028723670541,5
39,hell,0.019352261481196658,5
40,body,0.019250052245924392,5
41,deserve,0.01921740823715273,5
42,laugh,0.0187820992377928,5
43,normal,0.018425109753052556,5
44,bear,0.018308783007042275,5
45,dream,0.018066153384689403,5
46,happiness,0.017856961784613223,5
47,god,0.017034551733922026,5
48,single,0.016713483120761454,5
49,forget,0.016711118926057974,5
50,everyday,0.016406568528749468,5
51,fine,0.01630420345712578,5
52,human,0.016225750004536712,5
53,sound,0.016204151561025584,5
